Lden	Location	ProzHA	N	listedBy	Region
40	Wipptal Mainroad Face	11.6376545458013	1991	G	Europe
40	Wipptal Highw+Mainr Phone	7.33726662276946	1327	G	Europe
40	Inntal Mainroad	14.4983602164863	1641	G	Europe
40	Inntal Highway	6.17165477142643	1641	G	Europe
40	Switzerland 2019	1.5	5592	F	Europe
40	Tunisia 2020	0	1272	F	Africa
40	Lower Inn Valley 2020	1.85	1003	F	Europe
40	Innsbruck 2019	0.5	1031	F	Europe
40.4847	Swiss	2.54304155858551	2386	G	Europe
42.6	France	1.69565355102008	701	G	Europe
45	Heathrow	10.2425	600	G	Europe
45	Berlin	5.2632	972	G	Europe
45	Amsterd	2.6966	898	G	Europe
45	Stockholm	3.54869999999996	1003	G	Europe
45	Athen	3.7922	635	G	Europe
45	Malpensa	6.14370000000001	753	G	Europe
45	Hong Kong	3.17749999999999	10077	G	Asia
45	Wipptal Mainroad Face	15.673827530449	1991	G	Europe
45	Wipptal Highway Face	10.2477033444097	1762	G	Europe
45	Wipptal Highw+Mainr Phone	9.64767322425643	1327	G	Europe
45	Inntal Mainroad	20.2943168711142	1641	G	Europe
45	Inntal Highway	9.67822548331605	1641	G	Europe
45	Switzerland 2019	2.75	5592	F	Europe
45	Montreal 2015	1.5	4336	F	America
45	Tunisia 2020	0	1272	F	Africa
45	India 2021	3.08962151888903	565	F	Asia
45	Lower Inn Valley 2020	3.2	1003	F	Europe
45	Innsbruck 2019	1	1031	F	Europe
45	Fiinland 2021	0.000711878210529482	6754	F	Europe
45	Japan JPN011RT2000	6	1601	F	Asia
45	Japan JPN021RT2004	2	1358	F	Asia
45	Japan ISK101RT2007	4	371	F	Asia
45.4847	Swiss	3.89573998269322	2386	G	Europe
47.6	France	2.63393196252834	701	G	Europe
47.6	Denmark Motorway 2016	5.69094979369928	3446	F	Europe
47.6	Denmark Urban 2016	2.4278168646632	3315	F	Europe
50	Heathrow	9.95449999999998	600	G	Europe
50	Berlin	3.60169999999997	972	G	Europe
50	Amsterd	4.4221	898	G	Europe
50	Stockholm	2.4932	1003	G	Europe
50	Athen	3.22419999999999	635	G	Europe
50	Malpensa	8.43670000000001	753	G	Europe
50	Hong Kong	3.01000000000001	10077	G	Asia
50	Wipptal Mainroad Face	20.7806223746761	1991	G	Europe
50	Wipptal Highway Face	14.479775613139	1762	G	Europe
50	Wipptal Highw+Mainr Phone	12.5867742016605	1327	G	Europe
50	Inntal Mainroad	27.6577970421718	1641	G	Europe
50	Inntal Highway	14.8615678938735	1641	G	Europe
50	Switzerland 2019	4.75	5592	F	Europe
50	Ulsan 2016	9.3	967	F	Asia
50	Seoul 2016	8.8	869	F	Asia
50	Montreal 2015	2.5	4336	F	America
50	Denmark Motorway 2016	7.90809592794194	3446	F	Europe
50	Denmark Urban 2016	3.16762283790564	3315	F	Europe
50	Tunisia 2020	0	1272	F	Africa
50	India 2021	4.02930758464011	565	F	Asia
50	Lower Inn Valley 2020	5.6	1003	F	Europe
50	Innsbruck 2019	2.25	1031	F	Europe
50	Fiinland 2021	0.0226872739729219	6754	F	Europe
50	Japan JPN011RT2000	11	1601	F	Asia
50	Japan JPN021RT2004	4	1358	F	Asia
50	Japan ISK101RT2007	4	371	F	Asia
50.4847	Swiss	5.92422888888486	2386	G	Europe
50.4847	Kumamoto detached	3.28411897243064	378	G	Asia
50.4847	Kumamoto apartment	3.43398855927148	469	G	Asia
50.4847	Sapporo detached	1.21949973278846	411	G	Asia
50.4847	Sapporo apartment	0.674653060068764	369	G	Asia
52.6	France	4.06990535714665	701	G	Europe
55	Heathrow	12.6115	600	G	Europe
55	Berlin	5.58519999999993	972	G	Europe
55	Amsterd	6.7576	898	G	Europe
55	Stockholm	4.71269999999997	1003	G	Europe
55	Athen	3.96620000000001	635	G	Europe
55	Malpensa	13.1397	753	G	Europe
55	Hong Kong	4.45750000000002	10077	G	Asia
55	Wipptal Mainroad Face	27.0181878141132	1991	G	Europe
55	Wipptal Highway Face	20.06879830562	1762	G	Europe
55	Wipptal Highw+Mainr Phone	16.2601178679313	1327	G	Europe
55	Inntal Mainroad	36.4705150677193	1641	G	Europe
55	Inntal Highway	22.1404553488172	1641	G	Europe
55	Switzerland 2019	7.75	5592	F	Europe
55	Montreal 2015	3.75	4336	F	America
55	Denmark Motorway 2016	15.1884044736407	3446	F	Europe
55	Denmark Urban 2016	5.46813172159408	3315	F	Europe
55	Tunisia 2020	1	1272	F	Africa
55	India 2021	9.46076965117308	565	F	Asia
55	Lower Inn Valley 2020	9.2	1003	F	Europe
55	Innsbruck 2019	5.75	1031	F	Europe
55	Fiinland 2021	0.263082192751326	6754	F	Europe
55	Japan JPN011RT2000	13	1601	F	Asia
55	Japan JPN016RT2003	10	272	F	Asia
55	Japan JPN021RT2004	11	1358	F	Asia
55	Japan ISK101RT2007	12	371	F	Asia
55.4847	Swiss	8.91100472334963	2386	G	Europe
55.4847	Gothenbg detached	5.78127823787599	436	G	Europe
55.4847	Gothenbg apartment	2.93316234377214	706	G	Europe
55.4847	Kumamoto detached	6.12620443646119	378	G	Asia
55.4847	Kumamoto apartment	5.93813859193266	469	G	Asia
55.4847	Sapporo detached	2.74163123083862	411	G	Asia
55.4847	Sapporo apartment	1.77983819411927	369	G	Asia
57.6	France	6.23858513799944	701	G	Europe
60	Heathrow	18.2135	600	G	Europe
60	Berlin	11.2137	972	G	Europe
60	Amsterd	9.7031	898	G	Europe
60	Stockholm	10.2072	1003	G	Europe
60	Athen	6.0182	635	G	Europe
60	Malpensa	20.2527	753	G	Europe
60	Hong Kong	7.52000000000001	10077	G	Asia
60	Wipptal Mainroad Face	34.3169838135865	1991	G	Europe
60	Wipptal Highway Face	27.1307296046143	1762	G	Europe
60	Wipptal Highw+Mainr Phone	20.7510058559636	1327	G	Europe
60	Inntal Mainroad	46.2943074033816	1641	G	Europe
60	Inntal Highway	31.6587276227936	1641	G	Europe
60	Switzerland 2019	12.75	5592	F	Europe
60	Ulsan 2016	9.2	967	F	Asia
60	Seoul 2016	14.4	869	F	Asia
60	Montreal 2015	6	4336	F	America
60	Denmark Motorway 2016	27.1920599260889	3446	F	Europe
60	Denmark Urban 2016	9.2792953117157	3315	F	Europe
60	Tunisia 2020	3	1272	F	Africa
60	India 2021	31.2772180323068	565	F	Asia
60	Lower Inn Valley 2020	15.1	1003	F	Europe
60	Innsbruck 2019	12.5	1031	F	Europe
60	Fiinland 2021	1.49129863396186	6754	F	Europe
60	Japan JPN011RT2000	20	1601	F	Asia
60	Japan JPN016RT2003	26	272	F	Asia
60	Japan JPN021RT2004	15	1358	F	Asia
60	Japan ISK101RT2007	10	371	F	Asia
60	Japan STM104RT2011	12	189	F	Asia
60.4847	Swiss	13.1924374393149	2386	G	Europe
60.4847	Gothenbg detached	13.403062796911	436	G	Europe
60.4847	Gothenbg apartment	5.80937971900595	706	G	Europe
60.4847	Kumamoto detached	11.144428227892	378	G	Asia
60.4847	Kumamoto apartment	10.0778033274892	469	G	Asia
60.4847	Sapporo detached	6.04731802603867	411	G	Asia
60.4847	Sapporo apartment	4.61143068541666	369	G	Asia
62.6	France	9.44903689501592	701	G	Europe
65	Heathrow	26.7605	600	G	Europe
65	Berlin	20.4872	972	G	Europe
65	Amsterd	13.2586	898	G	Europe
65	Stockholm	18.9767	1003	G	Europe
65	Athen	9.38019999999999	635	G	Europe
65	Malpensa	29.7757	753	G	Europe
65	Hong Kong	12.1975	10077	G	Asia
65	Hue	2.76494648222478	688	G	Asia
65	Thai-Nguyen	0.784875998292974	813	G	Asia
65	Wipptal Mainroad Face	42.4408933092194	1991	G	Europe
65	Wipptal Highway Face	35.5717595800206	1762	G	Europe
65	Wipptal Highw+Mainr Phone	26.0957089332494	1327	G	Europe
65	Inntal Mainroad	56.4144584103043	1641	G	Europe
65	Inntal Highway	43.0086069504516	1641	G	Europe
65	Switzerland 2019	20	5592	F	Europe
65	Montreal 2015	9.25	4336	F	America
65	Denmark Motorway 2016	43.7848112675494	3446	F	Europe
65	Denmark Urban 2016	15.3163715765086	3315	F	Europe
65	Tunisia 2020	16	1272	F	Africa
65	India 2021	62.988036722039	565	F	Asia
65	Lower Inn Valley 2020	23.5	1003	F	Europe
65	Innsbruck 2019	26	1031	F	Europe
65	Fiinland 2021	5.09310667206728	6754	F	Europe
65	Japan JPN011RT2000	36	1601	F	Asia
65	Japan JPN016RT2003	27	272	F	Asia
65	Japan JPN021RT2004	31	1358	F	Asia
65	Japan ISK101RT2007	25	371	F	Asia
65	Japan STM104RT2011	19	189	F	Asia
65.4847	Swiss	19.0996212615309	2386	G	Europe
65.4847	Gothenbg detached	28.0785562926628	436	G	Europe
65.4847	Gothenbg apartment	11.1810966465251	706	G	Europe
65.4847	Kumamoto detached	19.4227811782176	378	G	Asia
65.4847	Kumamoto apartment	16.5942354953382	469	G	Asia
65.4847	Sapporo detached	12.8136714832552	411	G	Asia
65.4847	Sapporo apartment	11.4239229442077	369	G	Asia
67.6	France	14.0638125734134	701	G	Europe
67.6	Ulsan 2016	14.8	967	F	Asia
67.6	Seoul 2016	22.1	869	F	Asia
67.6	Equador 2022	2.37199999999996	225	F	America
70	Heathrow	38.2525	600	G	Europe
70	Berlin	33.4057	972	G	Europe
70	Amsterd	17.4241	898	G	Europe
70	Stockholm	31.0212	1003	G	Europe
70	Athen	14.0522	635	G	Europe
70	Malpensa	41.7087	753	G	Europe
70	DaNang	2.89693403981737	492	G	Asia
70	Hong Kong	18.49	10077	G	Asia
70	Hue	5.42302641227986	688	G	Asia
70	Thai-Nguyen	4.8020294188065	813	G	Asia
70	Wipptal Highway Face	45.0166002687522	1762	G	Europe
70	Wipptal Highw+Mainr Phone	32.2566953735104	1327	G	Europe
