"Location";"N"
"Heathrow";600
"Berlin";972
"Amsterd";898
"Stockholm";1003
"Athen";635
"Malpensa";753
"DaNang";492
"France";701
"Hanoi";1502
"Ho Ch iMinh";1463
"Hong Kong";10077
"Hue";688
"Swiss";2386
"Thai-Nguyen";813
"Gothenbg detached";436
"Gothenbg apartment";706
"Kumamoto detached";378
"Kumamoto apartment";469
"Sapporo detached";411
"Sapporo apartment";369
"Wipptal Mainroad Face";1991
"Wipptal Highway Face";1762
"Wipptal Highw+Mainr Phone";1327
"Inntal Mainroad";1641
"Inntal Highway";1641
"Switzerland 2019";5592
"Ulsan 2016";967
"Seoul 2016";869
"Portugal 2015";180
"Muang Phuket 2017";126
"Thalang 2017";103
"Kathu 2017";24
"Montreal 2015";4336
"Denmark Motorway 2016";3446
"Denmark Urban 2016";3315
"Tunisia 2020";1272
"India 2021";565
"Lower Inn Valley 2020";1003
"Innsbruck 2019";1031
"Equador 2022";225
"Fiinland 2021";6754
"Japan JPN011RT2000";1601
"Japan JPN016RT2003";272
"Japan JPN021RT2004";1358
"Japan ISK101RT2007";371
"Japan STM104RT2011";189
