Lden;prozHA;lower;upper;Source
40;0;0,407140628;0,930534326;Miedema2001
45;1,419142661;0,981573492;2,01534713;Miedema2001
50;2,976606028;2,160985042;4,032688097;Miedema2001
55;5,745159718;4,354320355;7,463804687;Miedema2001
60;10,22523613;8,052274138;12,79617373;Miedema2001
65;16,82482228;13,7108039;20,36040426;Miedema2001
70;25,67491801;21,57853983;30,14294373;Miedema2001
75;36,47880698;31,53128867;41,66260145;Miedema2001
80;48,48523288;43,00020178;53,99912235;Miedema2001
40;NA;NA;NA;GuskiFull
45;7,63;2,7;20,3;GuskiFull
50;8,61;2,5;27,66;GuskiFull
55;11,1;4,16;36,47;GuskiFull
60;15,31;6,61;46,29;GuskiFull
65;20,92;0,8;56,41;GuskiFull
70;27,1;4,04;66,03;GuskiFull
75;37,5;10,4;57,1;GuskiFull
80;48,1;27,33;74,96;GuskiFull
40;NA;NA;NA;GuskiWOAlp
45;4;2,7;10,24;GuskiWOAlp
50;3,62;2,94;9,95;GuskiWOAlp
55;5;3,4;13,14;GuskiWOAlp
60;9,1;6,02;20,25;GuskiWOAlp
65;15,2;0,8;29,78;GuskiWOAlp
70;23,9;2,89;41,71;GuskiWOAlp
75;34,7;10,36;56,05;GuskiWOAlp
80;48;27,33;72,8;GuskiWOAlp
40;NA;NA;NA;GuskiWOAlpAsia
45;4,1;NA;NA;GuskiWOAlpAsia
50;4,3;NA;NA;GuskiWOAlpAsia
55;6,2;NA;NA;GuskiWOAlpAsia
60;11,3;NA;NA;GuskiWOAlpAsia
65;19;NA;NA;GuskiWOAlpAsia
70;29;NA;NA;GuskiWOAlpAsia
75;41;NA;NA;GuskiWOAlpAsia
80;56;NA;NA;GuskiWOAlpAsia
